Agregados macroeconómicos;Ramas de actividad;Periodo;Total
Producción;Total CNAE;2018;2.160.265
Producción;Total CNAE;2017;2.064.193
Producción;Total CNAE;2016;1.954.167
Producción;Total CNAE;2015;1.923.848
Producción;Total CNAE;2014;1.872.487
Producción;Total CNAE;2013;1.842.061
Producción;Total CNAE;2012;1.886.347
Producción;Total CNAE;2011;1.955.501
Producción;Total CNAE;2010;1.963.676
Producción;Total CNAE;2009;1.984.954
Producción;Total CNAE;2008;2.175.254
Producción;Total CNAE;2007;2.145.676
Producción;Total CNAE;2006;1.998.401
Producción;Total CNAE;2005;1.815.864
Producción;Total CNAE;2004;1.653.742
Producción;Total CNAE;2003;1.530.031
Producción;Total CNAE;2002;1.428.025
Producción;Total CNAE;2001;1.315.287
Producción;Total CNAE;2000;1.210.545
Producción;Total CNAE;1999;1.085.506
Producción;Total CNAE;1998;1.000.562
Producción;Total CNAE;1997;931.603
Producción;Total CNAE;1996;870.592
Producción;Total CNAE;1995;815.321
Producción;A Agricultura, ganadería, silvicultura y pesca;2018;60.866
Producción;A Agricultura, ganadería, silvicultura y pesca;2017;58.325
Producción;A Agricultura, ganadería, silvicultura y pesca;2016;56.141
Producción;A Agricultura, ganadería, silvicultura y pesca;2015;54.721
Producción;A Agricultura, ganadería, silvicultura y pesca;2014;50.213
Producción;A Agricultura, ganadería, silvicultura y pesca;2013;52.048
Producción;A Agricultura, ganadería, silvicultura y pesca;2012;47.805
Producción;A Agricultura, ganadería, silvicultura y pesca;2011;47.748
Producción;A Agricultura, ganadería, silvicultura y pesca;2010;46.463
Producción;A Agricultura, ganadería, silvicultura y pesca;2009;43.481
Producción;A Agricultura, ganadería, silvicultura y pesca;2008;47.393
Producción;A Agricultura, ganadería, silvicultura y pesca;2007;47.605
Producción;A Agricultura, ganadería, silvicultura y pesca;2006;42.403
Producción;A Agricultura, ganadería, silvicultura y pesca;2005;43.008
Producción;A Agricultura, ganadería, silvicultura y pesca;2004;45.599
Producción;A Agricultura, ganadería, silvicultura y pesca;2003;45.585
Producción;A Agricultura, ganadería, silvicultura y pesca;2002;42.855
Producción;A Agricultura, ganadería, silvicultura y pesca;2001;41.862
Producción;A Agricultura, ganadería, silvicultura y pesca;2000;39.550
Producción;A Agricultura, ganadería, silvicultura y pesca;1999;37.457
Producción;A Agricultura, ganadería, silvicultura y pesca;1998;37.972
Producción;A Agricultura, ganadería, silvicultura y pesca;1997;37.150
Producción;A Agricultura, ganadería, silvicultura y pesca;1996;36.515
Producción;A Agricultura, ganadería, silvicultura y pesca;1995;31.923
Producción;A Agricultura, ganadería, silvicultura y pesca;2018;60.866
Producción;A Agricultura, ganadería, silvicultura y pesca;2017;58.325
Producción;A Agricultura, ganadería, silvicultura y pesca;2016;56.141
Producción;A Agricultura, ganadería, silvicultura y pesca;2015;54.721
Producción;A Agricultura, ganadería, silvicultura y pesca;2014;50.213
Producción;A Agricultura, ganadería, silvicultura y pesca;2013;52.048
Producción;A Agricultura, ganadería, silvicultura y pesca;2012;47.805
Producción;A Agricultura, ganadería, silvicultura y pesca;2011;47.748
Producción;A Agricultura, ganadería, silvicultura y pesca;2010;46.463
Producción;A Agricultura, ganadería, silvicultura y pesca;2009;43.481
Producción;A Agricultura, ganadería, silvicultura y pesca;2008;47.393
Producción;A Agricultura, ganadería, silvicultura y pesca;2007;47.605
Producción;A Agricultura, ganadería, silvicultura y pesca;2006;42.403
Producción;A Agricultura, ganadería, silvicultura y pesca;2005;43.008
Producción;A Agricultura, ganadería, silvicultura y pesca;2004;45.599
Producción;A Agricultura, ganadería, silvicultura y pesca;2003;45.585
Producción;A Agricultura, ganadería, silvicultura y pesca;2002;42.855
Producción;A Agricultura, ganadería, silvicultura y pesca;2001;41.862
Producción;A Agricultura, ganadería, silvicultura y pesca;2000;39.550
Producción;A Agricultura, ganadería, silvicultura y pesca;1999;37.457
Producción;A Agricultura, ganadería, silvicultura y pesca;1998;37.972
Producción;A Agricultura, ganadería, silvicultura y pesca;1997;37.150
Producción;A Agricultura, ganadería, silvicultura y pesca;1996;36.515
Producción;A Agricultura, ganadería, silvicultura y pesca;1995;31.923
Producción;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2018;..
Producción;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2017;53.322
Producción;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2016;51.439
Producción;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2015;50.116
Producción;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2014;45.622
Producción;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2013;47.613
Producción;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2012;43.537
Producción;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2011;43.340
Producción;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2010;42.452
Producción;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2009;39.466
Producción;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2008;42.938
Producción;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2007;42.670
Producción;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2006;37.703
Producción;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2005;38.404
Producción;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2004;40.902
Producción;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2003;41.158
Producción;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2002;38.383
Producción;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2001;37.580
Producción;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;2000;35.332
Producción;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;1999;33.419
Producción;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;1998;34.136
Producción;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;1997;33.588
Producción;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;1996;33.101
Producción;01 Agricultura, ganadería, caza y servicios relacionados con las mismas;1995;28.726
Producción;02 Silvicultura y explotación forestal;2018;..
Producción;02 Silvicultura y explotación forestal;2017;2.105
Producción;02 Silvicultura y explotación forestal;2016;1.923
Producción;02 Silvicultura y explotación forestal;2015;1.856
Producción;02 Silvicultura y explotación forestal;2014;1.752
Producción;02 Silvicultura y explotación forestal;2013;1.740
Producción;02 Silvicultura y explotación forestal;2012;1.516
Producción;02 Silvicultura y explotación forestal;2011;1.571
Producción;02 Silvicultura y explotación forestal;2010;1.420
Producción;02 Silvicultura y explotación forestal;2009;1.351
Producción;02 Silvicultura y explotación forestal;2008;1.845
Producción;02 Silvicultura y explotación forestal;2007;2.134
Producción;02 Silvicultura y explotación forestal;2006;2.014
Producción;02 Silvicultura y explotación forestal;2005;1.908
Producción;02 Silvicultura y explotación forestal;2004;1.797
Producción;02 Silvicultura y explotación forestal;2003;1.770
Producción;02 Silvicultura y explotación forestal;2002;1.734
Producción;02 Silvicultura y explotación forestal;2001;1.570
Producción;02 Silvicultura y explotación forestal;2000;1.586
