indice;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995
1;29925;28928;27138;23797;24480;22620;22931;23976;22114;23826;23949;21300;22751;23885;24568;23128;22853;21316;19935;20422;19918;19163;15778
2;995;966;968;956;1049;958;1085;981;981;1483;1803;1732;1661;1580;1573;1550;1418;1448;1211;1137;962;847;774
3;1633;1580;1370;1426;1228;1254;1230;1122;1130;970;1222;1177;1267;1421;1386;1474;1509;1500;1595;1517;1460;1461;1340
16;1912;1659;1602;1473;1493;1604;1805;2014;2196;2987;3037;2978;2783;2648;2619;2601;2558;2531;2425;2307;2124;2030;1925
17;3773;3474;3392;3046;3447;3518;3689;3586;3252;3555;3554;3317;3241;3205;3160;3218;3167;2981;2809;2781;2726;2635;2798
18;2203;2227;2227;2394;2427;2647;3165;3501;3509;4023;4108;4177;4149;3744;3678;3645;3446;3405;2838;2633;2399;2132;1849
19;3506;3410;2917;873;1457;2286;2579;1883;1250;1920;2707;3345;3818;3483;3318;2783;2894;2713;1700;2349;2338;1970;1952
20;9226;8722;8061;7709;7413;7883;8830;8461;7725;8550;8319;8166;7856;7588;7214;7303;7185;6684;6132;5674;5463;4933;4815
21;6874;7026;6833;6862;6068;5136;4904;5353;6568;6896;6335;5816;5275;4820;4467;4177;3922;3512;3131;2922;2807;2569;2482
22;6152;5882;5823;5550;5462;5099;5416;5516;5292;5870;5332;5145;5244;5223;5161;5133;4934;4804;4492;4270;3988;3862;3479
23;5616;5297;4970;4749;4569;4948;5834;6378;7338;10039;10179;10159;9898;9084;8734;8783;8648;8114;7625;7005;6379;5906;6017
24;6875;6047;5935;5605;5128;5381;5572;5768;4618;6040;6585;7044;6142;6436;6175;6555;6772;6559;5409;4748;4328;3631;3833
25;11387;10528;10030;9855;9522;9725;10912;11374;12066;15106;14619;13601;12877;12095;11862;11340;10706;9931;8700;7893;7289;6702;5859
26;1637;1570;1561;1628;1855;1955;2079;2129;2405;2705;2621;2339;2327;2224;2418;2532;3103;3075;2984;2891;2749;2808;2373
27;4388;4200;4022;3751;3671;3739;4030;4779;4950;5898;5625;5488;4554;4724;4529;4329;4190;3988;3668;3529;3284;3174;2794
28;6926;6437;6538;6886;6543;6545;6368;6217;6551;7436;7077;6887;6609;6521;6208;6240;6034;5598;4943;4624;4256;4000;3424
29;11786;11240;10741;9759;8527;7421;8498;8897;9177;10688;11857;11551;10882;11352;11063;10486;10015;9816;9587;9416;8752;7715;6913
30;4099;3885;4135;4860;5066;4556;4706;3696;4226;4425;3907;3674;3220;2947;3158;2972;2399;2243;2299;2091;2027;1768;1612
33;6498;5864;5788;5086;4905;4899;5079;5298;5256;4962;4438;3946;3321;3005;2735;2520;2235;1915;1765;1629;1488;1369;1194
35;24412;24939;25719;24869;26018;26538;25819;25868;23315;23384;19569;16885;15802;13203;12174;10923;10073;9799;10414;10391;11152;11124;10563
36;4758;4567;4554;4343;4402;4159;4388;4165;3595;3378;3236;3130;3002;2833;2627;2513;2380;2288;2176;2126;2034;1925;1741
45;17477;16598;14649;13466;13997;14686;15856;15744;14275;14548;14548;13173;12514;11202;9984;9178;9013;8413;8688;8662;8731;8726;8536
46;64075;59926;57513;55099;54878;53012;52368;50534;50579;52256;49476;43993;39937;38174;35137;32673;29608;25976;22732;19909;17924;16395;15101
47;55267;53904;51144;48848;49173;50794;52003;51710;51952;52578;49236;47324;44660;42029;39536;38556;36198;34058;32257;31148;30587;29761;28959
49;24161;23515;24157;22797;21833;22469;22715;22827;22428;22741;21828;20603;19017;19123;18421;17485;17142;15318;15268;15178;14655;14651;14831
50;753;740;661;585;586;623;720;863;759;775;849;752;773;728;715;716;694;744;729;711;696;700;769
51;2747;2480;2336;2198;2142;1973;2042;2204;2073;2099;2107;2203;2265;2597;2563;2519;2399;2336;2230;2157;2124;2122;1917
52;18947;17755;17698;16452;15548;16139;16755;15336;14111;14068;13192;11995;11259;11097;10275;9706;8929;7799;6602;5520;4720;4106;3692
53;2290;2160;2244;2205;2031;2008;2274;2403;2483;2633;2598;2395;2405;2301;2178;2068;1897;1791;1713;1640;1505;1338;1221
58;2577;2481;2574;2368;2419;2791;3203;3455;3638;3791;3795;3898;3925;3587;3588;3578;3407;3335;2778;2531;2306;2030;1734
61;14703;14848;14762;14835;16047;16880;17428;18404;19328;19303;18942;17876;17139;16408;15497;14544;13254;12452;12053;11702;10814;9618;8883
64;28607;26676;28165;27301;24166;28461;27894;30928;44815;40798;38657;33117;29334;27480;26387;25474;24358;21591;18937;18686;18152;16932;16677
65;7003;8152;5765;6928;7066;8426;7907;7362;7421;8080;6330;5576;5522;5279;4285;4385;3401;1515;1719;2280;2060;2278;1811
66;4472;3834;3688;3355;3146;3040;3034;2991;2985;3207;3132;2935;2608;2511;2209;1995;2158;2398;2354;2179;1902;1567;1400
68;204839;201928;197227;200046;201841;196046;193165;181389;159158;166173;155862;136039;119693;104431;91595;81360;71800;66350;58048;53410;49455;45825;43011
71;11229;10445;10651;10592;10029;9545;10744;11024;12866;12735;10657;8908;7576;6912;6539;5565;5258;3999;3546;3121;2786;2591;2435
72;5229;5064;5190;4954;4860;4697;4466;4132;3880;3667;3390;3190;2987;2725;2616;2416;2380;2376;2337;2316;2351;2413;2571
73;5560;5266;5245;4681;4414;4603;4890;4963;4910;4982;4741;4971;4922;4369;4394;3980;3582;3506;3108;3429;3222;3019;2845
77;8403;7978;7255;6651;6458;6851;7413;7377;7187;7671;7260;6248;5621;5348;5098;4659;4136;3786;3168;2644;2202;1914;1612
78;5700;4889;4203;3558;2854;2797;2977;2857;2791;4027;4020;3769;3768;3267;3130;2950;2866;2744;2418;2073;1847;1673;1492
79;3459;3182;2929;2791;2616;2856;3022;2668;2785;3169;3121;2995;2808;2558;2391;2204;2021;1904;1892;1830;1757;1753;1743
84;65238;63389;63094;62436;62773;62002;65216;65366;63774;60600;55458;51289;47150;44200;41327;38774;37280;35096;32625;30845;29336;28145;26851
85;55144;54775;53290;51534;51376;51497;53313;53624;53744;50978;47310;44027;41422;39345;36866;34844;32985;30752;28514;26711;25037;23756;21996
86;53928;52488;50423;48688;48991;49304;51802;51196;51061;48414;43036;32820;35834;32915;30385;27245;24942;23471;21648;20391;19367;18947;17893
93;10861;10498;9859;8931;8310;8500;8662;8339;7950;7627;7102;6733;6400;5740;5249;4913;4545;4194;3816;3568;3276;3122;2902
94;10012;9703;8763;8007;7537;7078;6801;6392;5993;5582;5033;4494;4069;3636;3256;2990;2670;2407;2241;2071;1955;1832;1725
95;1245;1263;1284;1272;1286;1167;1096;1063;1207;1184;1089;1026;955;904;867;844;767;685;620;550;502;465;431
96;8855;8383;8370;7924;8005;8376;8257;7961;7698;7586;7018;6531;6290;5961;5781;5574;5428;5336;5161;4993;4792;4709;4622
99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105;2049;1474;1483;1625;1833;2292;2587;2639;2585;3264;3379;3090;2855;2874;2678;2445;2222;1765;1708;1710;1827;2172;2389
110;26255;25045;24496;24309;24376;24829;25399;24546;24168;24415;23260;21144;20505;18398;17437;16098;15281;14504;14452;13725;13366;12869;12565
113;9249;8993;8667;8243;8161;7984;8831;7932;7771;8778;8689;8643;8289;8337;8556;8153;8109;7572;7435;7308;6875;6407;5972
131;4358;4083;4034;4103;4114;4554;4622;4935;5614;6569;6486;6442;6143;5954;5480;5371;5387;5218;4707;4236;3866;3494;3069
137;7063;6920;6487;6395;6667;6487;6222;5942;5256;5266;4899;4574;4153;3751;3590;3431;3018;2638;2377;2024;1761;1561;1375
