;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;total ventas
1;871.0;0.1;0.0;0.2;27,665.3;674.2;3.7;23.8;0.0;0.0;484.8;149.7;199.4;0.0;0.0;0.0;0.2;0.0;9.2;0.0;0.1;7.5;0.0;0.0;0.0;7.1;13.7;0.0;259.9;60.7;0.0;0.0;0.0;9.9;0.0;587.8;0.0;0.0;0.0;0.0;0.5;0.1;1.2;0.0;8.4;0.0;71.3;0.0;7.3;0.0;0.0;0.0;65.4;92.1;112.5;60.1;20.2;2.3;25.4;0.8;0.0;0.0;0.0;0.0;31,495.9
2;10.4;796.7;0.0;1.2;25.7;0.0;72.9;227.0;0.0;0.0;2.8;6.2;36.5;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;20.8;0.0;38.1;0.0;2.7;1.5;0.0;10.4;0.5;0.0;0.0;0.0;0.0;0.0;12.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;8.6;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;1,275.5
3;0.0;0.0;44.6;0.0;203.3;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;2.6;0.3;0.0;0.0;0.0;0.0;0.0;3.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;21.3;5.9;9.5;0.3;0.0;0.0;0.0;0.0;0.0;0.0;297.7
4;0.0;0.0;3.0;53.1;94.0;2.6;0.3;71.3;1.7;16,960.4;420.0;12.1;2.8;965.5;2,091.3;102.1;0.3;445.3;22.0;77.8;0.0;7.8;32.3;5,707.2;7.8;34.7;536.0;0.3;299.2;3.3;0.1;0.0;0.0;3.7;0.0;23.1;0.9;0.1;0.1;6.8;0.6;0.2;0.7;4.4;39.3;0.7;57.5;0.2;0.0;3.4;0.1;0.0;2.6;16.6;0.5;0.0;0.0;1.3;3.2;0.0;0.1;0.8;0.0;0.0;28,121.2
5;7,371.8;0.7;164.3;20.5;23,595.3;194.5;0.1;58.8;0.0;8.8;291.1;285.0;2.0;0.1;0.0;0.2;0.2;1.7;10.6;0.0;0.0;3.9;49.9;461.0;90.7;2.4;79.4;5.6;1,110.9;606.4;8.6;0.0;0.0;36.9;0.5;16,639.4;0.4;1.8;3.1;3.5;4.2;0.2;3.8;31.4;34.5;4.8;89.2;1.3;21.9;18.5;0.2;1.1;12.1;312.7;327.2;394.3;382.3;212.6;225.5;11.8;0.0;66.0;0.0;0.0;53,265.7
6;7.8;0.0;40.6;1.4;24.6;4,335.3;0.4;52.4;0.2;0.0;98.6;45.2;170.3;10.8;2.9;10.3;0.0;9.4;8.3;463.4;0.8;304.6;20.9;0.0;7.1;41.5;167.8;29.6;206.8;62.7;27.5;0.1;0.0;69.6;1.1;664.7;0.5;0.7;0.7;7.2;4.0;0.3;2.3;15.9;1.2;65.6;37.3;62.2;127.7;16.9;0.0;1.3;93.8;129.1;29.1;73.5;28.5;13.5;18.1;23.5;13.8;57.3;0.0;0.0;7,710.7
7;23.7;0.0;12.9;32.0;275.0;15.5;1,860.2;87.3;9.0;0.0;41.5;17.6;68.1;108.4;146.2;65.7;0.0;44.4;110.2;9.4;0.4;594.1;39.9;0.0;0.3;5.3;1,037.7;1.4;106.1;28.8;94.1;0.0;0.0;60.7;0.0;165.1;0.6;0.1;8.9;3.1;0.0;0.0;0.1;10.0;0.1;23.6;14.0;2.1;3.8;19.5;1.8;0.0;61.3;12.3;21.7;13.0;4.2;1.8;7.0;15.0;0.4;6.9;0.0;0.0;5,292.3
8;3.5;0.0;0.3;3.5;1,800.5;181.0;184.5;3,877.8;417.2;0.0;271.3;146.9;204.6;153.9;70.7;144.7;4.5;89.4;64.9;41.7;7.4;175.5;58.9;184.6;2.0;189.0;22.7;27.4;174.8;32.8;4.2;0.0;1.1;20.5;0.6;334.2;460.3;9.8;7.4;51.5;195.5;56.0;89.3;0.0;14.0;37.1;31.9;81.7;40.3;5.4;0.0;0.4;11.0;68.9;167.7;62.8;5.1;6.9;14.7;11.9;1.1;12.0;0.0;0.0;10,339.3
9;0.0;0.0;0.0;0.3;416.4;11.2;2.0;2.6;751.2;0.0;329.3;405.1;49.7;16.8;30.2;70.4;0.0;28.5;95.7;35.4;0.0;24.4;232.4;101.4;2.0;0.7;1.7;86.7;453.5;130.9;1.6;0.1;1.6;2.0;0.2;51.0;4.4;4.1;43.9;599.1;23.0;18.7;98.3;29.4;142.3;770.3;46.3;286.2;6.3;0.7;0.0;42.6;111.6;91.3;45.7;16.9;9.6;19.2;23.8;0.0;5.5;3.1;0.0;0.0;5,777.3
10;466.4;11.7;174.3;66.8;66.2;19.3;47.2;10.5;9.0;989.7;763.3;0.0;135.5;0.0;140.6;14.9;0.0;64.6;26.7;27.3;10.1;17.1;176.0;2,369.0;67.2;202.8;805.5;277.3;132.6;100.0;3,017.5;88.0;1,066.6;30.3;29.7;29.0;6.0;9.7;5.6;10.4;0.0;0.0;1.4;41.4;22.6;67.4;35.4;6.6;3.4;24.2;2.6;0.6;34.9;222.7;222.3;63.3;26.4;12.6;25.4;24.9;7.1;13.4;0.0;0.0;12,343.0
11;2,205.2;6.3;19.0;95.3;954.1;462.1;223.1;600.6;187.6;85.7;10,709.6;1,222.6;2,112.9;916.8;751.8;586.4;48.3;281.6;133.5;1,484.8;99.1;218.9;162.2;1,249.5;653.2;158.2;2,429.9;434.7;922.0;21.5;57.0;2.4;3.3;295.2;0.0;166.8;0.6;112.9;8.1;24.8;32.8;3.3;16.8;4.2;180.8;144.3;222.1;80.7;20.8;23.3;0.9;0.8;22.7;206.9;18.9;1,490.9;77.5;5.5;6.8;20.5;11.1;83.5;0.0;0.0;32,782.7
